Lead ID;Lead Owner;Team;Oldest Campaign;Converted;Time to Lead ConversionSorted Descending;Industry;No. of Employees;Country
00Qi000001ZTP8o;NK;Tempelhof;Sales Contact;1;0;Other;1,001;Germany
00Qi000001ZL5iJ;VR;Tempelhof;Sales Contact;1;0;Dental;25;France
00Qi000001AU3PN;ER;EG;Sales Contact;1;1;Other;1,001;Germany
00Qi000001aPT1k;VR;Tempelhof;Sales Contact;1;1;Other;1;France
00Qi000001c1AEs;FR;Tempelhof;Sales Contact;1;1;Other;25;Germany
00Qi000001AagYg;ER;EG;Samples;1;1;Other;25;United Kingdom
00Qi000001a7Ped;FR;Tempelhof;Sales Contact;1;2;Other;1;Germany
00Qi000001bSONh;VR;Tempelhof;Sales Contact;1;3;Other;25;France
00Qi000001eyXAf;VR;Tempelhof;Sales Contact;1;3;Other;25;France
00Qi000001ZFaoy;ER;EG;Sales Contact;1;6;EDU;500;United Kingdom
00Qi000001OeUzC;VR;Tempelhof;Samples;1;6;Engineering;500;France
00Qi000001Arayz;ER;EG;Sales Contact;1;7;Other;25;United Kingdom
00Qi000001NfcCS;KV;Tempelhof;Samples;1;7;Other;25;Germany
00Qi000001bIyNv;VR;Tempelhof;Sales Contact;1;11;EDU;100;France
00Qi000001TUUZ1;VR;Tempelhof;Samples;1;11;Other;25;France
00Qi000001NWSkk;VR;Tempelhof;Samples;1;13;Jewellery;1;France
00Qi000001bjod0;KF;Tempelhof;Sales Contact;1;15;EDU;500;United Kingdom
00Qi000001boKBu;MO;Tempelhof;Sales Contact;1;15;Other;1,001;Germany
00Qi000001OE7lb;KV;Tempelhof;Samples;1;16;Other;100;Germany
00Qi000001Ybigu;VR;Tempelhof;Samples;1;18;Other;25;France
00Qi0000012rlKK;ER;EG;Samples;1;18;Engineering;10;Germany
00Qi000001YMIA6;RE;Tempelhof;Samples;1;19;Other;100;United Kingdom
00Qi000001d4GYP;RE;Tempelhof;Samples;1;21;Other;25;United Kingdom
00Qi000001ZjTTx;NK;Tempelhof;Sales Contact;1;22;Other;1;Germany
00Qi000001brVG0;FR;Tempelhof;Samples;1;23;Engineering;500;Germany
00Qi000001boDi5;NK;Tempelhof;Samples;1;23;Engineering;100;Germany
00Qi000001UI51m;ER;EG;Samples;1;24;Engineering;1,001;Germany
00Qi000001bfXI7;RE;Tempelhof;Samples;1;25;Other;25;United Kingdom
00Qi000001XIJvE;RE;Tempelhof;Samples;1;27;EDU;25;United Kingdom
00Qi000001cdpWN;AE;Tempelhof;Samples;1;30;Other;1,001;United Kingdom
00Qi000001VRsn7;NK;Tempelhof;Samples;1;32;Dental;25;Germany
00Qi000001bAGrM;VR;Tempelhof;Samples;1;38;Other;1;France
00Qi000001ZaGdd;VR;Tempelhof;Sales Contact;1;39;Other;25;France
00Qi000001S5UJK;VR;Tempelhof;Samples;1;39;Dental;25;France
00Qi000001X8RF9;ER;EG;Samples;1;39;Engineering;1;Germany
00Qi000001aLpji;FR;Tempelhof;Samples;1;40;Dental;25;Germany
00Qi000001aSCog;ER;EG;Samples;1;40;Engineering;1,001;Germany
00Qi000001bAosk;VR;Tempelhof;Samples;1;52;Other;25;France
00Qi000001XIt2l;NK;Tempelhof;Other;1;52;Other;1;Germany
00Qi000001DYjM7;VR;Tempelhof;Samples;1;53;Other;25;France
00Qi000001bS3ii;KF;Tempelhof;Samples;1;54;Other;100;United Kingdom
00Qi000001IAUCI;VR;Tempelhof;Samples;1;57;Engineering;25;France
00Qi000001aLNJn;NK;Tempelhof;Sales Contact;1;64;Other;1,001;Germany
00Qi000001AXMbU;ER;EG;Trade Show;1;71;Other;-;Germany
00Qi0000012rkF4;KV;Tempelhof;Preform Downloads;1;81;EDU;1,001;United Kingdom
00Qi000001QRkZu;KV;Tempelhof;Preform Downloads;1;82;Dental;25;Germany
00Qi000001Eqx7c;ER;EG;Samples;1;88;Dental;25;Germany
00Qi000001UgTzt;VR;Tempelhof;Samples;1;91;Engineering;25;France
00Qi000001ZyHEt;FR;Tempelhof;Samples;1;104;Other;25;United Kingdom
00Qi000001T6G0R;ER;EG;Samples;1;128;Other;25;Germany
00Qi000001I9F5i;ER;EG;Samples;1;132;Other;500;Germany
00Qi000001OihfF;VR;Tempelhof;Samples;1;172;Other;25;France
00Qi000001Q0R8F;FR;Tempelhof;Preform Downloads;1;230;EDU;500;Germany
00Qi000001Q7JRC;FR;Tempelhof;Preform Downloads;1;258;Other;-;Germany
00Qi000001RLP6z;ER;EG;Samples;1;284;Dental;25;France
00Qi000000ksXFE;ER;EG;Sales Contact;1;699;Engineering;0;United Kingdom
00Qi000001AXMbo;ER;EG;Trade Show;0;-;EDU;-;Germany
00Qi000001a7ouG;RE;Tempelhof;Sales Contact;0;-;Other;25;United Kingdom
00Qi000001emxnp;AE;Tempelhof;Other;0;-;Other;500;United Kingdom
00Qi000001Z9Bse;ER;EG;Paid;0;-;Other;-;United Kingdom
00Qi000001ZShAW;ER;EG;Paid;0;-;Other;-;United Kingdom
00Qi000001ZShBZ;ER;EG;Paid;0;-;Engineering;-;United Kingdom
00Qi000001ZI9EM;ER;EG;Paid;0;-;Other;-;United Kingdom
00Qi000001X8bBb;ER;EG;Paid;0;-;Other;-;United Kingdom
00Qi000001C2Sw8;ER;EG;Preform Downloads;0;-;Other;25;Germany
00Qi000001I2kDy;ER;EG;Preform Downloads;0;-;Other;500;United Kingdom
00Qi000001OdPyj;KV;Tempelhof;Preform Downloads;0;-;Engineering;1,001;Germany
00Qi000001bGXAN;MO;Tempelhof;Sales Contact;0;-;EDU;500;Germany
00Qi000001ajWgk;VR;Tempelhof;Sales Contact;0;-;Other;1;France
00Qi000001ZSZYh;NK;Tempelhof;Sales Contact;0;-;Other;500;Germany
00Qi000001ZTSWe;NK;Tempelhof;Sales Contact;0;-;Engineering;100;Germany
00Qi000000oy2lQ;ER;EG;Sales Contact;0;-;Engineering;0;Germany
00Qi000001aPOn7;ER;EG;Sales Contact;0;-;Other;1;United Kingdom
00Qi000001aScQM;VR;Tempelhof;Sales Contact;0;-;Dental;100;France
00Qi000001eoADF;NK;Tempelhof;Sales Contact;0;-;Other;25;Germany
00Qi000001eoctE;LL;Tempelhof;Sales Contact;0;-;Dental;100;France
00Qi000001al5SA;MO;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001ZTSjI;ER;EG;Samples;0;-;Engineering;500;United Kingdom
00Qi000001ZbYlb;ER;EG;Samples;0;-;Other;25;United Kingdom
00Qi000001ajWju;ER;EG;Samples;0;-;Other;1;United Kingdom
00Qi000001ajxcL;MO;Tempelhof;Samples;0;-;Engineering;1;Germany
00Qi000001afr1b;VR;Tempelhof;Samples;0;-;Other;25;France
00Qi000001Vq9wa;VR;Tempelhof;Samples;0;-;Other;100;United Kingdom
00Qi000001Vc8Xl;ER;EG;Samples;0;-;Other;1;United Kingdom
00Qi000001ak2PG;ER;EG;Samples;0;-;Other;1;United Kingdom
00Qi0000019vwNU;ER;EG;Samples;0;-;Engineering;1,001;United Kingdom
00Qi000001ZFiHl;VR;Tempelhof;Samples;0;-;Jewellery;25;France
00Qi0000019qlkc;ER;EG;Samples;0;-;EDU;1,001;Germany
00Qi0000019qoet;ER;EG;Samples;0;-;Other;25;Germany
00Qi0000019tlGP;ER;EG;Samples;0;-;Engineering;500;United Kingdom
00Qi000001ArDKl;ER;EG;Samples;0;-;Engineering;100;United Kingdom
00Qi000000vniiq;ER;EG;Samples;0;-;Other;10;United Kingdom
00Qi000001ND6St;KV;Tempelhof;Samples;0;-;Engineering;1,001;Germany
00Qi000001ay2qT;FR;Tempelhof;Samples;0;-;Other;1;Germany
00Qi000001Bfsv3;ER;EG;Samples;0;-;Other;1;Germany
00Qi000001YdI0Y;ER;EG;Samples;0;-;Other;25;United Kingdom
00Qi000001a6trq;FR;Tempelhof;Samples;0;-;Engineering;1;Germany
00Qi000001HJkiX;ER;EG;Samples;0;-;Engineering;1,001;Germany
00Qi000001GCrXV;ER;EG;Samples;0;-;Other;25;United Kingdom
00Qi000001ErvLn;ER;EG;Samples;0;-;Jewellery;25;United Kingdom
00Qi000001aQh7V;FR;Tempelhof;Samples;0;-;Other;1,001;Germany
00Qi000001aLpmE;NK;Tempelhof;Samples;0;-;Other;1;Germany
00Qi000001c5XDP;ER;EG;Samples;0;-;Engineering;500;United Kingdom
00Qi000001c0mnU;ER;EG;Samples;0;-;Other;1;United Kingdom
00Qi000001bjksU;ER;EG;Samples;0;-;Engineering;1,001;Germany
00Qi000001V6OdG;ER;EG;Samples;0;-;Engineering;500;United Kingdom
00Qi000001ck8lt;KF;Tempelhof;Samples;0;-;Engineering;25;United Kingdom
00Qi000001Lfncd;VR;Tempelhof;Samples;0;-;Other;1;France
00Qi000001bI1uv;FR;Tempelhof;Samples;0;-;Engineering;1;Germany
00Qi000001dYugc;LL;Tempelhof;Samples;0;-;Engineering;25;France
00Qi000001ORWS1;NK;Tempelhof;Samples;0;-;Dental;25;Germany
00Qi000001aR3Nv;VR;Tempelhof;Samples;0;-;Other;25;France
00Qi000000s3fU6;ER;EG;Samples;0;-;Other;0;Germany
00Qi000001d2nmV;VR;Tempelhof;Samples;0;-;Other;1;United Kingdom
00Qi000001d2Xa8;AE;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001dCU2V;VR;Tempelhof;Samples;0;-;Engineering;500;France
00Qi000001ceVJu;LL;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001bIxsS;VR;Tempelhof;Samples;0;-;Jewellery;1,001;France
00Qi000001cybgj;KF;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001aTatO;FR;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001cy8gQ;AE;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001ck8lP;ER;EG;Samples;0;-;Other;500;United Kingdom
00Qi000001d2Bld;KF;Tempelhof;Samples;0;-;Engineering;25;Germany
00Qi000001eoeqS;VR;Tempelhof;Samples;0;-;Other;25;France
00Qi000001ekRDy;RE;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001dD2Eq;AE;Tempelhof;Samples;0;-;Jewellery;1;United Kingdom
00Qi000001eo8ka;KF;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001e7tzh;AE;Tempelhof;Samples;0;-;EDU;100;United Kingdom
00Qi000001enFKn;AE;Tempelhof;Samples;0;-;Jewellery;1;United Kingdom
00Qi000001e7psb;MO;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001bS3Yo;VR;Tempelhof;Samples;0;-;Other;1;France
00Qi000001bvoka;FR;Tempelhof;Samples;0;-;Engineering;1;Germany
00Qi000001dZJWP;ER;EG;Samples;0;-;Engineering;1;United Kingdom
00Qi000001dqlJL;NK;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001c2EE9;RE;Tempelhof;Samples;0;-;Engineering;500;Germany
00Qi000001ZyOTd;ER;EG;Samples;0;-;EDU;500;United Kingdom
00Qi000001bwYhZ;VR;Tempelhof;Samples;0;-;Engineering;1;France
00Qi000001cEzTy;VR;Tempelhof;Samples;0;-;Other;500;France
00Qi000001cEvAD;LL;Tempelhof;Samples;0;-;Engineering;500;United Kingdom
00Qi000001ZkbuR;ER;EG;Samples;0;-;Other;1;United Kingdom
00Qi000001bvnSt;FR;Tempelhof;Samples;0;-;Engineering;1;Germany
00Qi000001c1APq;VR;Tempelhof;Samples;0;-;Other;1;France
00Qi000001OLsnj;KV;Tempelhof;Samples;0;-;Other;1,001;Germany
00Qi000001Z9gOv;VR;Tempelhof;Samples;0;-;Dental;25;United Kingdom
00Qi000001YGhdh;ER;EG;Samples;0;-;Other;1,001;Germany
00Qi000001aLNQM;KF;Tempelhof;Samples;0;-;Jewellery;1;United Kingdom
00Qi000000mR5Vp;ER;EG;Samples;0;-;Engineering;500;Germany
00Qi000001YOgms;VR;Tempelhof;Samples;0;-;Other;1;France
00Qi000001NeFpV;ER;EG;Other;0;-;Engineering;1;United Kingdom
00Qi000001W2XQu;RE;Tempelhof;Other;0;-;Other;1;United Kingdom
00Qi000001PzbDI;ER;EG;Other;0;-;Other;100;United Kingdom
00Qi000001YMVUu;NK;Tempelhof;Other;0;-;Other;1;Germany
00Qi000001RhAw8;ER;EG;Other;0;-;Dental;-;United Kingdom
00Qi000000lKfQb;VR;Tempelhof;Other;0;-;Jewellery;0;France
00Qi000001TsAdW;ER;EG;Other;0;-;Other;1;Germany